@RELATION TELEFONCULAR
@ATTRIBUTE Ekran_Boyutu_inc REAL
@ATTRIBUTE Hafiza_GB REAL	
@ATTRIBUTE Ram_GB REAL
@ATTRIBUTE Batarya_mAh INTEGER
@ATTRIBUTE Hat_Sayisi INTEGER
@ATTRIBUTE Hizli_Sarj INTEGER
@ATTRIBUTE 4_5G REAL
@ATTRIBUTE 5G REAL
@ATTRIBUTE CPU_cekirdek REAL
@ATTRIBUTE SAR_W/kg REAL
@ATTRIBUTE Ekran_orani REAL
@ATTRIBUTE Degisir_Batarya INTEGER
@ATTRIBUTE Kamera_cozunurlugu_MP REAL
@ATTRIBUTE Ekran_Cozunurlugu REAL
@ATTRIBUTE Parmak_Izi_Okuyucu REAL
@ATTRIBUTE Okuyucu REAL
@ATTRIBUTE Class {1,2,3,4,5}

@Data
4.5,32,3,3450,1,0,1,0,4,0.33,54.93,0,13,8,0,0,2
4.5,32,3,3505,1,0,1,0,8,0.77,51.57,0,12,7,1,1,2
4.5,64,4,3505,1,0,1,0,8,0.77,51.57,0,12,7,1,1,3
4.55,16,1,1900,1,0,0,0,2,1.02,63.1,1,12,6,0,0,1
4.6,8,1,2370,1,0,0,0,2,0.79,66.57,0,8,6,0,0,1
4.6,32,2,2700,1,0,1,1,2,0.7,70.66,0,23,6,1,1,3
4.7,8,1,2000,1,0,0,0,2,0.158,66.9,1,5,4,0,0,1
4.7,8,1,2000,2,0,0,0,4,0.12,66.72,1,5,4,0,0,1
4.7,4,1,2150,1,0,0,0,2,0.39,67.7,1,5,5,0,0,1
4.7,8,1,1900,1,0,0,0,1,0.48,67.28,1,8,6,0,0,1
4.7,8,0.5,2000,1,0,0,0,2,0.95,65.24,0,5,4,0,0,1
4.7,16,1,2000,2,0,0,0,4,0.48,62.23,1,8,5,0,0,1
4.7,8,1,2540,1,0,0,0,4,0.47,70.12,1,8,5,0,0,1
4.7,8,1,2440,1,0,0,0,4,0.508,71.19,1,8,5,0,0,1
4.7,8,1,2040,1,0,0,0,4,0.34,60.36,0,8,5,0,0,1
4.7,8,2,2000,1,0,0,0,4,0.64,70.06,1,8,6,0,0,1
4.7,16,1,1800,1,0,0,0,4,0.68,64.82,0,8,6,0,0,1
4.7,16,2,2000,1,0,0,0,8,0.507,64.89,0,13,6,0,0,2
4.7,32,1,1800,1,0,0,0,4,0.68,64.82,0,8,6,0,0,2
4.7,16,2,2100,1,0,0,0,4,0.41,65.42,0,8,7,0,0,2
4.7,16,1,3000,2,0,1,1,4,0.609,56.68,0,8,5,0,0,2
4.7,8,1,2220,1,0,1,0,4,0.80,66,1,6.7,6,0,0,2
4.7,32,2,2100,1,0,0,0,4,0.43,69.18,0,13,7,0,0,2
4.7,16,1.5,2300,1,0,1,0,4,0.621,69.44,0,13,6,0,0,2
4.7,16,1.5,2300,2,0,1,0,4,0.621,69.44,0,13,6,0,0,2
4.7,16,2,1715,1,0,1,0,2,0.87,65.61,0,12,7,1,1,2
4.7,32,3,3800,2,0,1,1,2,0.444,56.1,0,13,6,0,0,2
4.7,32,2,1715,1,0,1,0,2,0.87,65.61,0,12,7,1,1,2
4.7,64,2,1715,1,0,1,0,2,0.87,65.61,0,12,7,1,1,2
4.7,128,2,1715,1,0,1,0,2,0.87,65.61,0,12,7,1,1,2
4.7,32,2,1960,1,0,1,1,2,1.38,65.61,0,12,7,1,1,3
4.7,128,2,1960,1,0,1,1,2,1.38,65.61,0,12,7,1,1,3
4.8,8,1,2330,1,0,1,0,4,0.77,63.95,0,8,5,0,0,1
4.8,8,1,2330,2,0,0,0,4,0.77,63.95,0,8,5,0,0,1
4.8,16,1.5,2100,2,0,0,0,4,0.375,65.77,1,8,6,0,0,2
4.8,16,1,2050,1,0,0,0,8,0.597,67.31,0,8,6,0,0,2
4.8,16,2,2000,1,0,1,0,4,0.351,65.73,0,8,6,0,0,2
4.8,16,1.5,2100,1,0,0,0,4,0.375,65.77,1,8,6,0,0,2
